District code,State name,District name,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Television,Households_with_Telephone_Mobile_Phone,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Tapwater_Households
270,NAGALAND,Kohima,20712,50724,1928,7982,8428,2011,29077,38531,650,47525,43001,37427,25045
271,NAGALAND,Peren,605,13859,121,1414,649,824,4334,8013,209,17199,10553,14866,7456
272,MANIPUR,Senapati,2430,22798,256,2170,827,1603,9623,13568,1006,30317,16321,29985,18477
273,MANIPUR,Tamenglong,1229,11541,125,1362,495,723,5233,6037,2117,21266,10189,17284,9250
274,MANIPUR,Churachandpur,13371,29894,837,4496,1807,6387,17498,24266,1150,47354,28742,41638,16414
275,MANIPUR,Bishnupur,11393,34364,676,3447,2009,5782,23140,28217,2355,42408,16508,41441,19612
276,MANIPUR,Thoubal,15994,49507,880,5110,3141,11574,34893,48254,4591,78020,29742,78949,13391
277,MANIPUR,Imphal West,61736,87078,4913,15066,12386,41705,77994,83432,5234,105015,68484,105743,63716
278,MANIPUR,Imphal East,41213,78663,2739,9837,7743,28471,56265,63361,3691,86764,49283,85211,31080
279,MANIPUR,Ukhrul,1659,14026,276,2437,1107,944,7360,12142,1807,26712,28568,29549,18080
280,MANIPUR,Chandel,1424,18764,184,1782,908,3263,8319,12428,1559,25414,11611,23065,5580
281,MIZORAM,Mamit,4010,12158,90,1073,565,1619,6263,10031,865,16720,8945,14784,4404
282,MIZORAM,Kolasib,8787,14853,367,1986,867,2488,8392,12841,403,16886,11294,16632,11477
283,MIZORAM,Aizawl,64710,79804,4019,21093,9581,16909,59257,73438,748,81144,73761,80980,55588
284,MIZORAM,Champhai,9115,23948,186,2263,1237,3135,13445,19039,899,25349,21158,24612,17370
285,MIZORAM,Serchhip,5511,12315,131,987,702,1723,7043,10185,991,12448,11822,12317,8459
286,MIZORAM,Lunglei,14037,26394,482,3725,1982,3706,15871,21471,837,32180,22896,28570,17757
287,MIZORAM,Lawngtlai,5213,9283,162,1329,631,658,6657,7895,1050,22512,8506,15309,7684
288,MIZORAM,Saiha,4783,7400,168,1194,507,337,4797,5856,439,10721,7587,9981,7068
289,TRIPURA,West Tripura,103228,314567,6394,36186,11356,44499,231324,228799,15393,390646,166347,365146,134228
290,TRIPURA,South Tripura,20246,133744,948,10393,3454,12757,78159,87445,8974,146403,38316,174397,80036
291,TRIPURA,Dhalai,5532,46875,273,5067,907,3006,24750,25563,6190,78811,15987,58161,16802
292,TRIPURA,North Tripura,19631,81601,997,10310,2726,9201,43755,63308,12140,147845,50104,127388,48723
293,MEGHALAYA,West Garo Hills,10006,51301,1630,8872,3589,10923,35051,45766,6836,63888,21585,73800,20818
294,MEGHALAYA,East Garo Hills,1839,24550,288,2368,1167,4732,15115,15314,1875,30371,7915,46851,10343
295,MEGHALAYA,South Garo Hills,482,10940,179,1625,695,1700,6721,6235,932,12562,2347,15916,6492
296,MEGHALAYA,West Khasi Hills,476,32873,149,2462,1683,922,12548,19192,5504,57141,15981,29492,22687
297,MEGHALAYA,Ribhoi,2319,30676,291,1906,1865,1628,14471,20670,2586,42582,10414,30296,21866
298,MEGHALAYA,East Khasi Hills,41496,135941,5032,19306,15048,7975,79933,93619,9439,157217,109102,111335,112619
299,MEGHALAYA,Jaintia Hills,7150,41677,510,4333,4790,978,17352,30613,5113,61783,45836,30960,16522
300,ASSAM,Kokrajhar,15089,41373,1218,14063,2996,12191,32320,75903,22357,116870,28132,52532,5098
301,ASSAM,Dhubri,28963,72232,1828,26263,3672,15757,44414,139069,70456,198446,87966,179665,7876
302,ASSAM,Goalpara,21455,78641,1364,13524,4112,15292,42628,93630,23559,112139,60181,129311,4201
303,ASSAM,Barpeta,50806,84804,2078,25286,5560,24913,55319,151699,59957,188162,97152,243504,5966
304,ASSAM,Morigaon,20083,52404,1421,15145,3927,13952,32449,80962,26495,126801,65747,111528,5999
305,ASSAM,Nagaon,89206,195631,5121,45956,13979,47693,127523,271238,70948,385346,250174,422431,33210
306,ASSAM,Sonitpur,70047,133368,4358,31254,11760,39796,106909,163277,37004,310383,177951,228882,33448
307,ASSAM,Lakhimpur,32104,60296,1948,15011,6904,25699,45689,92394,18746,185022,73904,117971,10937
308,ASSAM,Dhemaji,16547,28195,1192,10410,3504,12293,25776,57166,12631,118022,37742,57995,2965
309,ASSAM,Tinsukia,70471,161718,5135,27948,13323,31363,111738,124737,13442,248246,167479,217556,25386
310,ASSAM,Dibrugarh,76292,136685,8817,34479,21112,44664,121737,139869,14749,262021,177759,214721,29708
311,ASSAM,Sivasagar,61450,123430,5146,22124,18234,44887,97792,137392,14573,235922,159205,183253,49397
312,ASSAM,Jorhat,71639,122063,5651,26357,16081,44159,92598,128081,16833,224498,145819,155435,65585
313,ASSAM,Golaghat,40889,82345,3073,17636,9295,27300,70930,103909,16875,210740,123520,153723,31806
314,ASSAM,Karbi Anglong,18763,53918,1923,11340,3934,13699,56689,78269,7435,143977,51860,96932,12163
315,ASSAM,Dima Hasao,9202,19389,524,3753,1326,2327,14210,18890,1761,37697,15921,29780,10812
316,ASSAM,Cachar,62135,140205,5316,37541,8700,22647,99887,168487,40800,357096,159266,298041,134160
317,ASSAM,Karimganj,28261,70951,1933,24699,3757,7289,38570,105749,35405,241033,98861,210254,31884
318,ASSAM,Hailakandi,11035,44143,1211,10615,2583,5589,19998,55345,23127,139747,49075,119292,24859
319,ASSAM,Bongaigaon,29937,49866,2523,12959,5837,16579,36350,78595,16667,91788,47000,84687,8885
320,ASSAM,Chirang,8135,22502,747,8627,1814,6568,16559,43203,10918,61760,14176,27951,2988
321,ASSAM,Kamrup,70272,122191,3109,23468,10052,34461,90941,164899,36453,211276,124575,180800,11130
322,ASSAM,Kamrup Metropolitan,223368,250861,29117,85123,53778,81305,212645,252808,14026,278156,252029,268146,87009
323,ASSAM,Nalbari,37849,68313,1631,12360,4785,18810,45938,86710,14560,134737,80855,103600,4373
324,ASSAM,Baksa,11281,44425,1175,13566,2479,11924,36032,86067,21348,153083,31673,75132,5135
325,ASSAM,Darrang,17676,45444,1166,12084,3533,13662,30616,72141,32272,89914,46789,95080,4865
326,ASSAM,Udalguri,13666,53507,1448,11893,2867,11591,44972,77068,17694,109868,34290,73729,16301
327,WEST BENGAL,Darjiling,141897,297176,10943,38065,15192,39828,222987,239601,26581,292986,196540,251140,130225
328,WEST BENGAL,Jalpaiguri,138522,382500,9322,48818,16431,67075,268908,332800,124572,772808,302540,428531,187441
329,WEST BENGAL,Koch Bihar,49914,186195,3534,34438,8121,32771,110969,215363,81510,651250,218408,399224,85766
330,WEST BENGAL,Uttar Dinajpur,39138,199307,2883,31210,8150,31859,105431,198832,75630,528452,179022,164644,31795
331,WEST BENGAL,Dakshin Dinajpur,37186,168069,2518,24318,6211,20163,103980,154925,45679,371447,86762,145974,30454
332,WEST BENGAL,Maldah,54213,297716,5357,63525,9639,41600,142659,295922,91699,764919,175732,266247,129224
333,WEST BENGAL,Murshidabad,92742,541169,7951,79729,14050,74313,296566,530442,250678,1456525,388157,617358,109233
334,WEST BENGAL,Birbhum,57010,333752,5210,39636,7305,54557,191514,272320,120717,663318,186877,195797,129079
335,WEST BENGAL,Barddhaman,292585,1049943,32323,141387,46714,263368,747286,930784,140985,1515718,804546,949552,615383
336,WEST BENGAL,Nadia,168314,623729,12787,77210,18658,76698,384314,544290,174104,1103326,456320,955780,199423
337,WEST BENGAL,North Twenty Four Parganas,791267,1608749,105185,307381,83803,194653,1151793,1475106,263800,1980105,1239559,1998032,887270
338,WEST BENGAL,Hugli,319815,965258,31725,118459,24013,167753,628340,780325,117110,1126309,613305,903933,442520
339,WEST BENGAL,Bankura,45126,334670,4273,34128,7898,72350,177819,297338,86775,569436,136050,153487,90581
340,WEST BENGAL,Puruliya,30675,189889,3551,32862,6602,49630,104489,191057,41751,522871,66231,67448,69266
341,WEST BENGAL,Haora,325053,796953,30751,99261,22295,122818,539312,659579,95136,910252,455139,768670,329473
342,WEST BENGAL,Kolkata,623579,927602,136618,252644,85605,117173,816141,857883,25859,942739,868116,915319,849526
343,WEST BENGAL,South Twenty Four Parganas,232355,837874,20665,115871,38610,86416,569137,869569,247610,1505903,406676,1108082,413818
344,WEST BENGAL,Paschim Medinipur,108068,663811,8970,62108,14598,136067,304905,533930,158882,981901,251410,582455,246740
345,WEST BENGAL,Purba Medinipur,55834,530761,9076,67707,14605,61199,225190,499045,189166,862604,166407,937702,123719
346,JHARKHAND,Garhwa,6798,29373,565,8881,2671,16578,21864,100748,11991,246623,37316,18018,9562
347,JHARKHAND,Chatra,5307,27037,590,9115,2110,15107,17627,82823,8083,173022,31242,18298,7066
348,JHARKHAND,Kodarma,11810,62318,845,7195,2538,17265,28323,78836,5058,107974,27914,18818,5781
349,JHARKHAND,Giridih,16909,125431,1944,19976,6290,57582,63911,242670,12272,374095,65411,42269,20116
350,JHARKHAND,Deoghar,26760,130193,1944,13550,3714,32553,64890,126305,12930,247077,51685,42762,10813
351,JHARKHAND,Godda,7421,43230,874,11925,1754,19859,25764,89533,22483,230346,35837,26348,9377
352,JHARKHAND,Sahibganj,11545,34879,591,9563,1285,10359,24604,64808,16479,201676,35220,34451,10049
353,JHARKHAND,Pakur,5316,31414,328,4535,923,9725,16500,39592,12684,154992,15762,18395,5590
354,JHARKHAND,Dhanbad,83995,427173,11568,46646,18631,131398,290580,328776,21010,462184,224918,198464,199454
355,JHARKHAND,Bokaro,67157,274726,9754,37997,21098,108998,179570,239204,14255,363868,149320,130956,101797
356,JHARKHAND,Lohardaga,8016,28769,351,2954,1102,10065,12504,32713,2753,89434,16335,13613,2682
357,JHARKHAND,Purbi Singhbhum,159644,382507,22042,63985,32092,147472,228411,274111,18391,440026,232536,234485,140971
358,JHARKHAND,Palamu,17270,68238,2155,19981,8015,29434,51012,167482,22064,340400,82133,46445,16934
359,JHARKHAND,Latehar,2177,38194,340,6240,1268,8012,10697,39512,3250,129376,16406,14317,3795
360,JHARKHAND,Hazaribagh,23057,176888,3532,18181,9803,51617,84424,201427,9791,284842,79996,59041,21574
361,JHARKHAND,Ramgarh,24095,149265,2876,12021,7418,43672,87482,117980,6531,165694,67272,58313,45344
362,JHARKHAND,Dumka,11836,62110,1193,10396,2912,23058,32443,75323,16157,244559,28625,26873,10184
363,JHARKHAND,Jamtara,5564,49419,808,4959,1632,16906,31194,55601,7099,126493,17759,14710,3369
364,JHARKHAND,Ranchi,164237,350908,22538,76565,34053,141089,247137,334055,19421,535287,237057,227932,101302
365,JHARKHAND,Khunti,3779,29157,417,4747,1016,7844,11314,27125,3491,99002,10069,8580,3831
366,JHARKHAND,Gumla,9108,31687,831,7807,2181,16146,18701,55186,5727,183322,19181,19545,7231
367,JHARKHAND,Simdega,3472,16865,423,4649,1158,9742,7606,27504,3524,113047,9228,9547,3519
368,JHARKHAND,Pashchimi Singhbhum,19441,121955,1959,12472,3704,31568,40486,76341,12216,285348,34881,35357,29479
369,JHARKHAND,Saraikela-Kharsawan,26118,138131,2606,12081,4584,36326,60378,90836,7770,208789,46324,44330,25817
370,ORISSA,Bargarh,16880,166909,2401,12343,4546,48055,106176,123180,30376,339958,43913,60231,62792
371,ORISSA,Jharsuguda,18950,81433,2498,7555,3966,32916,57831,65742,7804,125891,34457,35184,24394
